"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Batt_negative1,Batt_positive1";"PinSocket_1x01_P2.54mm_Vertical";2;"Conn_01x01_Female";;;
2;"C1,C2";"C_2010_5025Metric_Pad1.52x2.65mm_HandSolder";2;"10uF";;;
3;"C3";"C_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"1nF";;;
4;"C4";"C_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"0.1uF";;;
5;"C5";"C_1812_4532Metric_Pad1.30x3.40mm_HandSolder";1;"10uF";;;
6;"C6,C8";"C_1812_4532Metric_Pad1.30x3.40mm_HandSolder";2;"4.7uF";;;
7;"C7,C9";"C_1812_4532Metric_Pad1.30x3.40mm_HandSolder";2;"1uF";;;
8;"Charged1";"LED_2010_5025Metric";1;"GREEN";;;
9;"Charging1";"LED_2010_5025Metric";1;"RED";;;
10;"R1";"R_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"2k";;;
11;"R2,R3";"R_2010_5025Metric_Pad1.52x2.65mm_HandSolder";2;"470";;;
12;"R4";"R_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"12k";;;
13;"R5,R6";"R_2010_5025Metric_Pad1.52x2.65mm_HandSolder";2;"5k";;;
14;"R7";"R_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"10k";;;
15;"Solar_in1";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
16;"U1";"SOT-23-5";1;"MCP73831-5-OT";;;
17;"U2";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
18;"U3";"Aosong_DHT11_5.5x12.0_P2.54mm";1;"DHT11";;;
19;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
